TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-3597.5,58.85,97.26,112.29,67.12,112.36,26.1,56.5,49.05,49.0,71.46,58.85,2.39,1.51,2.39,Square_3
-8111.0,81.44,139.1,147.85,118.04,151.4,18.32,80.37,75.9,73.53,91.67,81.44,2.21,1.82,2.25,Circle_5
-8176.5,82.05,139.89,147.38,118.0,154.29,19.27,80.83,77.27,72.64,92.57,82.05,2.2,1.81,2.28,Circle_5
-3079.0,48.93,84.55,85.98,79.63,88.02,4.38,48.81,48.06,46.81,51.58,48.93,2.13,1.99,2.17,Rectangle_4
-3106.5,49.24,85.0,86.73,79.23,89.04,5.13,49.08,48.18,46.75,52.31,49.24,2.13,1.97,2.18,Rectangle_4
-3917.5,54.95,95.15,95.01,93.54,96.9,1.68,54.93,55.03,53.91,55.86,54.95,2.09,2.07,2.13,Triangle_5
-3910.5,54.91,95.07,96.05,92.78,96.38,1.99,54.89,54.34,54.14,56.2,54.91,2.11,2.05,2.12,Triangle_5
-3845.5,60.23,99.84,111.61,71.03,116.87,25.09,57.92,52.65,48.7,72.41,60.23,2.33,1.55,2.4,Square_3
-4015.5,61.26,101.74,113.56,73.06,118.6,24.96,59.01,53.65,49.89,73.47,61.26,2.32,1.57,2.4,Square_3
-4560.0,71.71,115.09,135.53,68.18,141.55,40.73,67.33,58.69,53.75,89.54,71.71,2.46,1.3,2.52,Square_4
-4492.5,70.17,113.07,131.31,69.26,138.65,38.12,66.02,58.5,52.55,87.01,70.17,2.43,1.34,2.51,Square_4
-7882.0,88.52,145.41,168.29,97.05,170.88,41.9,84.59,73.72,71.71,108.33,88.52,2.4,1.46,2.42,Square_5
-7850.5,88.84,145.65,169.54,96.01,171.4,43.0,84.78,73.37,71.92,109.05,88.84,2.41,1.44,2.43,Square_5
-3000.5,48.64,83.76,86.82,76.01,88.46,6.77,48.37,46.75,45.71,52.65,48.64,2.16,1.93,2.19,Triangle_4
-2839.5,47.37,81.53,83.6,73.93,87.05,6.8,47.08,46.06,43.88,51.28,47.37,2.14,1.93,2.21,Triangle_4
-6793.0,87.58,140.54,165.74,83.1,172.8,49.88,82.23,71.54,65.73,109.42,87.58,2.46,1.3,2.52,Square_5
-6507.5,86.33,138.3,164.68,80.31,169.92,50.3,81.01,69.54,65.21,108.29,86.33,2.48,1.28,2.53,Square_5
