@relation features_0_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Triangle_5,Square_5,Triangle_3,Circle_3,Rectangle_5,Circle_4,Rectangle_4,Circle_5,Triangle_4,Square_3,Square_4,Rectangle_3}

@data
-4814,65.59,109.76,117.32,84.38,127.58,22.57,63.5,60.58,53.22,76.71,65.59,2.24,1.67,2.38,Circle_4
-7955,81.49,138.35,140.94,117.39,156.73,19.8,79.9,79.46,68.9,91.34,81.49,2.14,1.82,2.32,Circle_5
-7740.5,80.36,136.48,140.04,115.26,154.15,19.68,78.83,77.8,68.34,90.34,80.36,2.15,1.81,2.32,Circle_5
-4772.5,81.93,119.06,103.23,95.8,158.15,34.06,67.85,80.09,40.36,83.11,81.93,1.89,1.75,2.64,Rectangle_5
-4829.5,80.83,118.84,102.2,97.31,157,33.14,67.78,80.13,41.07,82.14,80.83,1.87,1.78,2.63,Rectangle_5
-1832,54.09,75.73,67.91,57.14,102.14,23.5,43.07,50.31,24.32,54.59,54.09,1.97,1.63,2.68,Rectangle_3
-1746,54.69,74.96,67.27,55.76,101.84,23.99,42.57,49.93,23.32,54.45,54.69,1.98,1.6,2.7,Rectangle_3
-4296,66.11,107.75,120.27,72.25,130.74,31.19,62.61,57.89,49.75,80.2,66.11,2.34,1.47,2.48,Circle_4
-4498,66.58,109.11,119.6,76.11,131.61,29.2,63.29,59.55,50.41,79.9,66.58,2.3,1.52,2.46,Circle_4
-6188.5,77.12,125.63,115.97,106.83,154.08,25.06,72.29,79.48,53.73,83.65,77.12,1.98,1.83,2.47,Square_5
-6228,78.08,126.53,116.67,106.79,156.12,26.1,72.78,80.24,53.4,84.7,78.08,1.98,1.82,2.48,Square_5
-2831,50.22,83.84,85,67.68,98.86,15.62,48.41,48.85,39.21,57.17,50.22,2.14,1.74,2.4,Square_3
-2845,49.58,83.34,82.22,70.6,97.19,13.33,48.09,49.55,39.5,55.2,49.58,2.09,1.82,2.38,Square_3
-2390,43.98,75.26,77.2,65.8,82.76,8.65,43.46,42.69,39.06,48.64,43.98,2.15,1.87,2.27,Triangle_4
-2465.5,45.19,76.95,81.25,64.35,85.23,11.09,44.46,42.44,39.75,51.2,45.19,2.2,1.8,2.28,Triangle_4
-4759,65.78,108.88,101.83,94.05,130.75,19.34,62.72,67.92,48.68,71.56,65.78,2,1.86,2.43,Square_4
-4846,66.43,109.89,101.98,95.59,132.09,19.5,63.29,68.94,49.02,71.93,66.43,1.98,1.87,2.43,Square_4
-4725.5,66.79,110.24,116.87,81.84,132,25.73,63.79,61.99,50.86,78.51,66.79,2.23,1.61,2.44,Circle_4
-4728,67.06,110.55,118.19,80.99,132.48,26.58,64.01,61.69,51.1,79.22,67.06,2.25,1.59,2.44,Circle_4
-6526,79.97,129.49,116.52,112.04,159.91,26.44,74.46,83.45,54.46,85.46,79.97,1.93,1.86,2.49,Square_5
-6690.5,79.77,130.29,117.69,113.86,159.31,25.21,74.96,83.56,56.02,85.31,79.77,1.94,1.88,2.47,Square_5
-4896,65.41,109.58,107.07,92.91,128.76,18.06,63.21,65.8,51.22,72.62,65.41,2.07,1.82,2.39,Circle_4
-4787,64.81,108.47,106.3,91.44,127.66,18.21,62.57,65,50.58,72.14,64.81,2.08,1.81,2.39,Circle_4
-4032.5,86.75,115.66,101.87,86.7,158.42,37.8,65.5,78.07,34.47,83.95,86.75,1.95,1.61,2.72,Rectangle_5
-3920,86.76,114.56,99.3,87.09,157.31,37.51,64.78,78.03,33.57,82.75,86.76,1.92,1.64,2.72,Rectangle_5
-2491,44.66,76.56,74.73,70.46,84.5,7.2,44.19,45.49,39.38,47.71,44.66,2.06,1.96,2.27,Triangle_4
-2509,45.46,77.45,79.51,66.29,86.56,10.29,44.73,44.03,39.36,50.81,45.46,2.15,1.84,2.3,Triangle_4
-2976.5,50.85,85.37,84.77,71.59,99.76,14.1,49.27,50.52,40.37,56.91,50.85,2.1,1.8,2.38,Square_3
-3007.5,50.97,85.75,86.31,71.31,99.62,14.17,49.5,50.08,41.02,57.41,50.97,2.12,1.79,2.37,Square_3
-3792,54.41,93.91,94.76,87.93,99.04,5.6,54.22,53.85,51.22,57.58,54.41,2.11,1.98,2.19,Triangle_5
-3654.5,53.29,92.09,93.26,87.09,95.9,4.52,53.17,52.56,50.96,55.98,53.29,2.12,2,2.17,Triangle_5
-6419.5,81.79,130.13,118.46,108.45,163.48,29.31,74.74,83.63,52.56,88.04,81.79,1.96,1.8,2.52,Square_5
-6589,82.38,131.56,121.2,108.76,164.71,29.38,75.6,83.82,53.65,89.33,82.38,1.98,1.79,2.51,Square_5
-2997.5,66.72,95.74,89.05,70.18,128,29.49,54.65,62.08,32.19,69.69,66.72,2.04,1.58,2.66,Rectangle_4
-3199.5,68.09,98.19,88.12,75.54,130.91,29.03,55.97,64.91,33.01,70,68.09,1.97,1.67,2.65,Rectangle_4
-7065.5,81.52,134.52,140.73,101.43,161.4,30.46,77.78,76.65,61.59,95.11,81.52,2.21,1.64,2.44,Circle_5
-7048,80.69,133.7,139.09,102.61,159.4,28.77,77.28,76.4,61.77,93.68,80.69,2.19,1.66,2.43,Circle_5
-1617,37.49,63.2,69.57,49.2,70.83,12.14,36.58,33.39,32.5,43.83,37.49,2.28,1.69,2.31,Triangle_3
-1689,38.01,64.3,70.33,51.09,71.47,11.45,37.19,34.14,33.34,44.09,38.01,2.27,1.72,2.3,Triangle_3
-1573.5,35.88,61.28,65.8,51.86,66.19,8.17,35.41,33.02,32.76,40.46,35.88,2.23,1.82,2.24,Triangle_3
-1510,35.42,60.28,64.35,50,66.49,8.97,34.84,32.83,31.38,40.31,35.42,2.22,1.78,2.28,Triangle_3
-2918,50.35,84.68,87.57,68.47,98.01,14.98,48.93,48.21,40.97,57.6,50.35,2.17,1.75,2.37,Circle_3
-2909,50.49,84.8,88.96,67.27,98.18,15.87,49.02,47.63,41.14,58.29,50.49,2.2,1.72,2.37,Circle_3
-6727,79.23,131.54,145.23,95.21,154.18,31.78,76.26,70.38,63.72,94.67,79.23,2.3,1.58,2.4,Circle_5
