TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-7126.5,79.28,132.95,139.62,104.81,154.43,25.47,76.86,74.67,64.21,91.71,79.28,2.2,1.71,2.37,Circle_5
-9051.0,86.62,147.49,156.97,122.8,162.69,21.57,85.24,80.59,76.72,98.4,86.62,2.22,1.79,2.28,Square_5
-2164.5,41.22,71.04,68.88,67.74,76.49,4.75,41.01,42.34,37.74,42.95,41.22,2.04,2.01,2.22,Rectangle_3
-7575.0,85.13,139.16,135.83,111.8,169.85,29.17,80.2,84.49,60.6,95.51,85.13,2.08,1.74,2.47,Circle_5
-5647.5,69.65,117.28,116.4,99.25,136.19,18.49,67.68,69.32,56.02,77.71,69.65,2.1,1.82,2.37,Square_4
-3052.5,62.53,98.53,121.51,51.09,122.98,41.09,58.12,47.96,46.7,79.7,62.53,2.56,1.14,2.58,Triangle_4
-5404.0,69.47,116.0,119.33,92.2,136.48,22.33,67.02,66.68,54.62,79.75,69.47,2.17,1.72,2.4,Circle_4
-3445.0,54.76,91.88,91.02,77.1,107.52,15.22,53.02,54.49,43.33,61.23,54.76,2.1,1.81,2.38,Square_3
-5082.0,76.53,122.48,146.16,70.66,150.63,44.94,71.77,61.46,57.76,96.1,76.53,2.49,1.27,2.53,Triangle_5
-3023.0,49.22,84.45,88.55,74.17,90.62,8.96,48.77,46.65,45.3,54.37,49.22,2.18,1.88,2.22,Rectangle_4
-2385.0,45.99,77.16,83.74,59.14,88.59,15.79,44.66,41.74,38.26,53.98,45.99,2.26,1.66,2.36,Rectangle_3
-4197.0,58.63,99.96,99.37,88.2,112.29,12.06,57.7,58.6,50.22,64.28,58.63,2.09,1.89,2.3,Rectangle_5
-3133.0,52.09,87.73,91.92,70.38,100.9,15.68,50.71,49.24,42.98,59.91,52.09,2.2,1.73,2.35,Circle_3
-3475.0,61.25,99.15,117.21,60.83,119.41,33.2,57.91,49.64,47.86,76.22,61.25,2.45,1.35,2.48,Triangle_4
