@relation features_1_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Circle_4,Rectangle_5,Circle_5,Triangle_4,Triangle_5,Circle_3,Square_5,Square_4,Square_3,Triangle_3,Rectangle_3,Rectangle_4}

@data
-3840.5,89.58,115.5,103.81,83.02,159.66,39.63,65.31,77.45,33.08,85.4,89.58,2.01,1.53,2.74,Rectangle_5
-4063.5,86.95,116.17,104.06,85.38,159.06,38.3,65.85,77.71,34.86,84.96,86.95,1.99,1.58,2.72,Rectangle_5
-2487.5,50.22,81.92,91.48,55.04,99.25,23.61,47.6,43.96,37.93,60.93,50.22,2.34,1.47,2.47,Circle_3
-2366,48.85,79.9,90.47,53.25,95.96,23.24,46.46,42.04,37.76,59.58,48.85,2.36,1.46,2.46,Circle_3
-3109,51.3,86.68,84.86,75.17,100.02,12.53,50.02,51.75,41.77,56.53,51.3,2.07,1.86,2.35,Square_3
-3108,51.52,86.78,82.13,77.2,101,12.56,50.04,53.31,41.11,55.71,51.52,2.01,1.9,2.37,Square_3
-2559,72.32,93.54,78.29,73.24,129.1,30.89,52.76,64.92,26.5,66.86,72.32,1.84,1.7,2.74,Rectangle_4
-2473,74.7,93.62,76.01,74.71,130.14,31.64,52.64,66.04,25.34,66.54,74.7,1.78,1.74,2.76,Rectangle_4
-5579.5,80.4,128.39,151.64,74.33,159.2,46.97,75.2,65.61,59.34,100.64,80.4,2.47,1.27,2.54,Circle_5
-5500,79.33,126.93,149.41,74.4,156.98,45.65,74.29,65.01,58.76,99.11,79.33,2.46,1.29,2.54,Circle_5
-1990,47.36,76.12,91.05,44.72,92.57,27.2,44.56,37.79,36.53,59.37,47.36,2.48,1.29,2.51,Circle_3
-2279,48.96,79.63,93.94,50.09,94.85,25.58,46.45,39.7,38.98,60.67,48.96,2.44,1.38,2.46,Circle_3
-1557,57.66,73.79,65.8,53.41,102.18,25.35,41.69,49.73,20.88,54.45,57.66,1.99,1.54,2.75,Rectangle_3
-1574,57.36,74.01,67.23,52.5,102.31,25.59,41.89,49.36,21.3,54.99,57.36,2.03,1.51,2.74,Rectangle_3
-3205,50.17,86.46,86.13,80.62,92.62,6,49.91,50.26,46.26,53.22,50.17,2.09,1.98,2.22,Triangle_5
-3127.5,49.45,85.32,85.09,80.16,90.7,5.27,49.26,49.51,46.07,52.18,49.45,2.09,1.99,2.2,Triangle_5
-1527.5,57.78,73.8,69.23,49.82,102.36,26.57,41.85,48.45,21.27,55.84,57.78,2.11,1.42,2.76,Rectangle_3
-1527,57.29,73.48,68.41,50.25,101.79,26.14,41.65,48.41,21.21,55.33,57.29,2.09,1.44,2.75,Rectangle_3
-1532,56.38,72.55,58.82,58.59,100.24,23.98,40.89,51.1,20.38,51.19,56.38,1.78,1.77,2.74,Rectangle_3
-1430,57.03,71.36,60.42,54.41,99.25,24.34,40.15,49.41,19.35,51.68,57.03,1.88,1.65,2.76,Rectangle_3
-2464,69.12,90.94,77.49,70.35,124.96,29.69,51.38,62.47,26.44,65.23,69.12,1.88,1.68,2.73,Rectangle_4
-2724,71.58,95.01,78.85,75.95,130.23,30.54,53.7,66.03,27.91,67.15,71.58,1.82,1.74,2.72,Rectangle_4
-4266,63.42,104.83,112.77,76.84,124.89,24.99,60.71,58.01,49.04,75.07,63.42,2.26,1.59,2.43,Circle_4
