Participant	FingersCount	TouchArea	SmallestInscribedCircleRadius	MeanPairedDistance	MedianPairedDistance	MinPairedDistance	MaxPairedDistance	SDPairedDistance	MeanCentroidVertexDistance	MedianCentroidVertexDistance	MinCentroidVertexDistance	MaxCentroidVertexDistance	SDCentroidVertexDistance	MeanCircleCenterVertexDistance	MedianCircleCenterVertexDistance	MinCircleCenterVertexDistance	MaxCircleCenterVertexDistance	SDCircleCenterVertexDistance	MeanAngleSuccessiveVertices	MedianAngleSuccessiveVertices	MinAngleSuccessiveVertices	MaxAngleSuccessiveVertices	SDAngleSuccessiveVertices	class
0	3	-1832	54.09	75.73	67.91	57.14	102.14	23.5	43.07	50.31	24.32	54.59	16.39	54.09	54.09	54.09	54.09	0	2.09	1.97	1.63	2.68	0.54	Rectangle_3
0	3	-1746	54.69	74.96	67.27	55.76	101.84	23.99	42.57	49.93	23.32	54.45	16.82	54.69	54.69	54.69	54.69	0	2.09	1.98	1.6	2.7	0.56	Rectangle_3
0	3	-4296	66.11	107.75	120.27	72.25	130.74	31.19	62.61	57.89	49.75	80.2	15.77	66.11	66.11	66.11	66.11	0	2.09	2.34	1.47	2.48	0.55	Circle_4
0	3	-4498	66.58	109.11	119.6	76.11	131.61	29.2	63.29	59.55	50.41	79.9	15.1	66.58	66.58	66.58	66.58	0	2.09	2.3	1.52	2.46	0.5	Circle_4
0	3	-6188.5	77.12	125.63	115.97	106.83	154.08	25.06	72.29	79.48	53.73	83.65	16.2	77.12	77.12	77.12	77.12	0	2.09	1.98	1.83	2.47	0.34	Square_5
0	3	-6228	78.08	126.53	116.67	106.79	156.12	26.1	72.78	80.24	53.4	84.7	16.93	78.08	78.08	78.08	78.08	0	2.09	1.98	1.82	2.48	0.35	Square_5
0	3	-2831	50.22	83.84	85	67.68	98.86	15.62	48.41	48.85	39.21	57.17	8.99	50.22	50.22	50.22	50.22	0	2.09	2.14	1.74	2.4	0.33	Square_3
0	3	-2845	49.58	83.34	82.22	70.6	97.19	13.33	48.09	49.55	39.5	55.2	7.95	49.58	49.58	49.58	49.58	0	2.09	2.09	1.82	2.38	0.28	Square_3
0	3	-2390	43.98	75.26	77.2	65.8	82.76	8.65	43.46	42.69	39.06	48.64	4.84	43.98	43.98	43.98	43.98	0	2.09	2.15	1.87	2.27	0.2	Triangle_4
0	3	-2465.5	45.19	76.95	81.25	64.35	85.23	11.09	44.46	42.44	39.75	51.2	5.99	45.19	45.19	45.19	45.19	0	2.09	2.2	1.8	2.28	0.26	Triangle_4
0	3	-4759	65.78	108.88	101.83	94.05	130.75	19.34	62.72	67.92	48.68	71.56	12.29	65.78	65.78	65.78	65.78	0	2.09	2	1.86	2.43	0.3	Square_4
0	3	-4846	66.43	109.89	101.98	95.59	132.09	19.5	63.29	68.94	49.02	71.93	12.45	66.43	66.43	66.43	66.43	0	2.09	1.98	1.87	2.43	0.3	Square_4
0	3	-4725.5	66.79	110.24	116.87	81.84	132	25.73	63.79	61.99	50.86	78.51	13.91	66.79	66.79	66.79	66.79	0	2.09	2.23	1.61	2.44	0.43	Circle_4
0	3	-4728	67.06	110.55	118.19	80.99	132.48	26.58	64.01	61.69	51.1	79.22	14.2	67.06	67.06	67.06	67.06	0	2.09	2.25	1.59	2.44	0.44	Circle_4
0	3	-6526	79.97	129.49	116.52	112.04	159.91	26.44	74.46	83.45	54.46	85.46	17.35	79.97	79.97	79.97	79.97	0	2.09	1.93	1.86	2.49	0.34	Square_5
0	3	-6690.5	79.77	130.29	117.69	113.86	159.31	25.21	74.96	83.56	56.02	85.31	16.43	79.77	79.77	79.77	79.77	0	2.09	1.94	1.88	2.47	0.32	Square_5
0	3	-4896	65.41	109.58	107.07	92.91	128.76	18.06	63.21	65.8	51.22	72.62	10.93	65.41	65.41	65.41	65.41	0	2.09	2.07	1.82	2.39	0.28	Circle_4
0	3	-4787	64.81	108.47	106.3	91.44	127.66	18.21	62.57	65	50.58	72.14	10.98	64.81	64.81	64.81	64.81	0	2.09	2.08	1.81	2.39	0.29	Circle_4
0	3	-4032.5	86.75	115.66	101.87	86.7	158.42	37.8	65.5	78.07	34.47	83.95	27.03	86.75	86.75	86.75	86.75	0	2.09	1.95	1.61	2.72	0.57	Rectangle_5
0	3	-3920	86.76	114.56	99.3	87.09	157.31	37.51	64.78	78.03	33.57	82.75	27.13	86.76	86.76	86.76	86.76	0	2.09	1.92	1.64	2.72	0.56	Rectangle_5
0	3	-2491	44.66	76.56	74.73	70.46	84.5	7.2	44.19	45.49	39.38	47.71	4.31	44.66	44.66	44.66	44.66	0	2.09	2.06	1.96	2.27	0.16	Triangle_4
0	3	-2509	45.46	77.45	79.51	66.29	86.56	10.29	44.73	44.03	39.36	50.81	5.76	45.46	45.46	45.46	45.46	0	2.09	2.15	1.84	2.3	0.24	Triangle_4
