@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_4, Rectangle_5, Circle_5, Triangle_4, Triangle_5, Circle_3, Square_5, Square_4, Square_3, Triangle_3, Rectangle_3, Rectangle_4}

@data
1, 3, -5349.5, 76.48, 120.98, 123.07, 86.98, 152.9, 33.01, 69.81, 72.06, 49.49, 87.86, 19.29, 76.48, 76.48, 76.48, 76.48, 0, 2.09, 2.18, 1.56, 2.54, 0.5, Square_5
1, 3, -5786.5, 78.88, 126.17, 135.1, 85.7, 157.69, 36.82, 73.11, 71.62, 54.09, 93.63, 19.81, 78.88, 78.88, 78.88, 78.88, 0, 2.09, 2.28, 1.48, 2.53, 0.55, Square_5
1, 3, -2521.5, 49.88, 80.69, 75.82, 66.53, 99.72, 17.13, 46.43, 50.54, 34, 54.73, 10.96, 49.88, 49.88, 49.88, 49.88, 0, 2.09, 2.01, 1.78, 2.49, 0.36, Square_3
1, 3, -7126.5, 79.28, 132.95, 139.62, 104.81, 154.43, 25.47, 76.86, 74.67, 64.21, 91.71, 13.88, 79.28, 79.28, 79.28, 79.28, 0, 2.09, 2.2, 1.71, 2.37, 0.35, Circle_5
1, 3, -4003, 64.92, 105.57, 125.16, 66.31, 125.25, 34, 61.59, 52.18, 52.11, 80.49, 16.37, 64.92, 64.92, 64.92, 64.92, 0, 2.09, 2.45, 1.38, 2.45, 0.62, Circle_4
1, 3, -3962, 64.47, 104.75, 120.81, 66.75, 126.7, 33.04, 61.05, 54.18, 49.5, 79.47, 16.12, 64.47, 64.47, 64.47, 64.47, 0, 2.09, 2.41, 1.4, 2.48, 0.61, Circle_4
1, 3, -6545.5, 78.36, 128.91, 128.08, 102.73, 155.93, 26.61, 74.36, 76.98, 57.35, 88.75, 15.86, 78.36, 78.36, 78.36, 78.36, 0, 2.09, 2.11, 1.72, 2.45, 0.36, Square_5
1, 3, -6228.5, 77.88, 127.1, 129.63, 96.4, 155.26, 29.51, 73.39, 74.53, 55.87, 89.77, 16.98, 77.88, 77.88, 77.88, 77.88, 0, 2.09, 2.17, 1.64, 2.47, 0.42, Square_5
1, 3, -3224, 50.96, 87.24, 85.88, 79.08, 96.77, 8.93, 50.36, 51.49, 44.59, 55, 5.3, 50.96, 50.96, 50.96, 50.96, 0, 2.09, 2.07, 1.93, 2.28, 0.18, Triangle_5
1, 3, -3304, 51.56, 88.31, 88.19, 79.25, 97.5, 9.13, 50.98, 51.42, 45.47, 56.06, 5.31, 51.56, 51.56, 51.56, 51.56, 0, 2.09, 2.1, 1.91, 2.27, 0.18, Triangle_5
1, 3, -2407, 43.8, 75.18, 72.14, 70.66, 82.73, 6.59, 43.39, 45.3, 38.8, 46.07, 4, 43.8, 43.8, 43.8, 43.8, 0, 2.09, 2.03, 1.99, 2.26, 0.15, Triangle_4
1, 3, -2101.5, 41.33, 70.56, 66.31, 66.07, 79.31, 7.58, 40.72, 43.35, 35.33, 43.47, 4.67, 41.33, 41.33, 41.33, 41.33, 0, 2.09, 1.99, 1.99, 2.3, 0.18, Triangle_4
1, 3, -5368, 78.61, 123.84, 134.46, 79.85, 157.2, 39.75, 71.89, 70, 51.85, 93.81, 21.04, 78.61, 78.61, 78.61, 78.61, 0, 2.09, 2.31, 1.4, 2.57, 0.61, Square_5
